,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
447,6,2.0,1.0,2.0,37.526117,126.998672,1.0,0.0,0.0,52
448,4,1.0,1.0,7.0,37.502659,127.041649,1.0,0.0,0.0,77
449,4,1.0,1.0,3.0,37.50248,127.04316,1.0,0.0,0.0,77
450,2,1.0,1.0,5.0,37.509214,127.019397,1.0,0.0,0.0,88
451,2,1.0,1.0,1.0,37.548314,126.939709,0.0,1.0,0.0,77
452,1,1.0,1.0,2.0,37.555617,126.929348,0.0,0.0,1.0,21
454,1,1.0,0.0,2.0,37.51195,127.056421,0.0,1.0,0.0,32
455,1,1.0,1.0,2.0,37.608297,127.015185,0.0,1.0,0.0,25
456,3,1.0,1.0,1.0,37.545988,126.979232,0.0,1.0,0.0,53
457,4,1.0,1.0,1.0,37.546953,126.978366,0.0,1.0,0.0,66
460,8,3.0,1.0,3.0,37.561208,126.921053,1.0,0.0,0.0,139
461,5,2.0,1.0,3.0,37.524581,126.850986,1.0,0.0,0.0,67
462,2,1.0,1.0,7.0,37.506517,127.022687,1.0,0.0,0.0,72
463,4,1.0,1.0,2.0,37.54542,126.940499,1.0,0.0,0.0,80
464,4,1.0,1.0,1.0,37.562761,126.921208,0.0,1.0,0.0,57
467,3,1.0,1.0,3.0,37.56202,126.965814,1.0,0.0,0.0,77
469,6,2.0,1.0,2.0,37.560009,126.990337,1.0,0.0,0.0,62
470,2,1.0,1.0,4.0,37.588462,127.022639,0.0,1.0,0.0,18
471,4,1.0,1.0,2.0,37.586486,127.021223,0.0,0.0,1.0,11
474,6,0.0,1.0,1.0,37.576026,126.984728,1.0,0.0,0.0,72
475,4,1.0,0.0,1.0,37.549472,126.911933,0.0,0.0,1.0,13
476,4,1.0,1.0,2.0,37.559347,126.981853,0.0,1.0,0.0,59
478,2,1.0,1.0,1.0,37.580019,127.005749,0.0,1.0,0.0,40
479,1,1.0,2.0,1.0,37.555326,126.938957,0.0,1.0,0.0,28
480,2,1.0,2.0,1.0,37.555531,126.938425,0.0,1.0,0.0,52
483,6,2.0,1.0,2.0,37.579543,126.971273,1.0,0.0,0.0,69
484,7,3.0,2.0,3.0,37.554325,126.914353,1.0,0.0,0.0,113
485,2,1.0,0.0,1.0,37.58029,127.005497,0.0,1.0,0.0,36
486,2,1.0,1.0,1.0,37.53364,126.899424,1.0,0.0,0.0,52
488,2,1.0,1.0,1.0,37.56064,126.920849,0.0,1.0,0.0,35
489,2,1.0,1.0,2.0,37.526793,126.997274,1.0,0.0,0.0,32
490,2,1.0,1.0,1.0,37.558078,126.979972,0.0,1.0,0.0,60
491,2,1.0,1.0,1.0,37.557236,126.981589,0.0,1.0,0.0,60
492,2,1.0,1.0,1.0,37.556497,126.980139,0.0,1.0,0.0,60
495,1,1.0,1.0,1.0,37.560536,126.919318,0.0,1.0,0.0,33
496,3,1.0,1.0,1.0,37.562308,126.919728,0.0,1.0,0.0,53
500,4,4.0,2.0,10.0,37.484076,127.083584,1.0,0.0,0.0,75
501,4,2.0,1.0,3.0,37.542257,126.964347,1.0,0.0,0.0,131
502,3,1.0,1.0,1.0,37.574735,126.973322,1.0,0.0,0.0,59
503,5,1.0,1.0,3.0,37.551714,126.96788,1.0,0.0,0.0,63
504,2,1.0,1.0,2.0,37.530829,126.860927,0.0,1.0,0.0,22
505,2,1.0,1.0,1.0,37.560877,126.921318,0.0,1.0,0.0,35
506,6,1.0,0.0,1.0,37.499049,127.025583,0.0,0.0,1.0,25
508,3,1.0,1.0,1.0,37.574482,126.970515,1.0,0.0,0.0,59
509,4,1.0,0.0,1.0,37.580569,127.004036,0.0,0.0,1.0,19
511,2,1.0,2.0,20.0,37.532628,127.071574,0.0,1.0,0.0,40
514,2,1.0,3.0,1.0,37.551424,126.926959,0.0,0.0,1.0,43
515,2,1.0,0.0,2.0,37.558846,126.916149,0.0,1.0,0.0,19
516,2,1.0,1.0,3.0,37.562318,126.922128,1.0,0.0,0.0,36
520,4,1.0,1.0,1.0,37.517714,126.903553,1.0,0.0,0.0,62
522,2,1.0,1.0,3.0,37.57187,126.972735,1.0,0.0,0.0,67
524,2,1.0,1.0,5.0,37.533309,126.969419,1.0,0.0,0.0,59
525,1,1.0,1.0,2.0,37.55374,126.927431,0.0,0.0,1.0,21
526,3,1.0,1.0,4.0,37.504487,127.019544,1.0,0.0,0.0,95
528,6,2.0,1.0,2.0,37.578048,126.971561,1.0,0.0,0.0,61
529,16,1.0,1.0,1.0,37.559182,126.9693,0.0,1.0,0.0,30
532,2,1.0,0.0,2.0,37.592088,126.916632,0.0,1.0,0.0,34
533,2,1.0,1.0,3.0,37.592219,126.917168,0.0,1.0,0.0,34
534,1,1.0,1.0,2.0,37.555332,126.928277,0.0,0.0,1.0,21
535,4,0.0,1.0,2.0,37.491406,127.029605,1.0,0.0,0.0,81
537,4,1.0,1.0,1.0,37.536092,126.968869,1.0,0.0,0.0,53
539,2,1.0,2.0,1.0,37.520857,127.021906,0.0,1.0,0.0,61
541,2,1.0,1.0,2.0,37.575977,126.986361,1.0,0.0,0.0,52
